Date,54T,24T,27T,30T,36T,40T,44T
11/18/2013,N/A,N/A,53,17,21,8,24
11/19/2013,N/A,N/A,N/A,20,20,9,29
11/20/2013,N/A,N/A,66,26,16,14,25
11/21/2013,N/A,N/A,55,28,32,15,23
11/22/2013,N/A,N/A,52,17,14,15,25
11/23/2013,N/A,N/A,46,17,33,15,31
11/24/2013,N/A,N/A,33,14,24,15,26
11/25/2013,N/A,N/A,53,25,22,16,25
11/26/2013,N/A,N/A,44,18,27,16,21
11/27/2013,N/A,N/A,52,17,36,11,12
11/28/2013,N/A,N/A,46,20,19,10,N/A
11/29/2013,N/A,N/A,38,10,22,10,7
11/30/2013,N/A,N/A,62,20,22,13,17
12/1/2013,N/A,N/A,59,N/A,23,16,15
12/2/2013,N/A,N/A,67,32,21,12,15
12/3/2013,N/A,N/A,92,36,26,16,15
12/4/2013,N/A,N/A,88,41,25,21,17
12/5/2013,N/A,N/A,67,32,31,24,11
12/6/2013,N/A,N/A,71,28,31,25,15
12/7/2013,N/A,N/A,71,34,35,25,17
12/8/2013,N/A,N/A,97,45,36,33,20
12/9/2013,N/A,N/A,122,50,40,34,19
12/10/2013,N/A,N/A,115,53,40,40,18
12/11/2013,N/A,N/A,123,50,50,44,20
12/12/2013,N/A,N/A,126,49,49,59,26
12/13/2013,N/A,N/A,115,48,68,63,29
12/14/2013,N/A,N/A,80,51,43,54,19
12/15/2013,N/A,N/A,52,33,31,47,8
12/16/2013,N/A,N/A,24,12,20,6,10
12/17/2013,N/A,N/A,27,8,21,14,10
12/18/2013,N/A,N/A,62,15,30,18,10
12/19/2013,N/A,N/A,77,20,30,22,12
12/20/2013,N/A,N/A,82,27,36,N/A,11
12/21/2013,N/A,N/A,77,31,33,N/A,13
12/22/2013,N/A,N/A,71,38,42,N/A,14
12/23/2013,N/A,N/A,95,47,53,N/A,20
12/24/2013,N/A,N/A,108,37,45,N/A,18
12/25/2013,N/A,N/A,100,50,46,38,18
12/26/2013,N/A,N/A,124,53,40,51,20
12/27/2013,N/A,N/A,129,60,51,50,29
12/28/2013,N/A,N/A,130,61,52,58,35
12/29/2013,N/A,N/A,115,59,51,71,39
12/30/2013,N/A,N/A,108,60,67,62,38
12/31/2013,N/A,N/A,102,N/A,61,60,39
,,,,,,,
หมายเหตุ ,N/A : ไม่มีข้อมูล,,,,,,
